"filename", "language", "YAML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "HTML", "XML", "Groovy", "Batch", "Properties", "TypeScript JSX", "PostCSS", "Java", "comment", "blank", "total"
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 2, 4, 22
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\LENOVO\trashure\frontend-vite\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 5, 19
"c:\Users\LENOVO\trashure\frontend-vite\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 7, 30
"c:\Users\LENOVO\trashure\frontend-vite\android\capacitor.settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\LENOVO\trashure\frontend-vite\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 15, 6, 23
"c:\Users\LENOVO\trashure\frontend-vite\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\LENOVO\trashure\frontend-vite\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 32, 22, 95
"c:\Users\LENOVO\trashure\frontend-vite\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\LENOVO\trashure\frontend-vite\android\variables.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\LENOVO\trashure\frontend-vite\capacitor.config.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
